product_code,malawi_program
AA039600,National Malaria Control Program
AA039900,National Malaria Control Program
AA040200,National Malaria Control Program
AA040500,National Malaria Control Program
AA058200,National Malaria Control Program
DN002900,National Malaria Control Program
DN101000,National Malaria Control Program
PMI0003,National Malaria Control Program
PMI0004,National Malaria Control Program
PMI0006,National Malaria Control Program
AA045000,Reproductive Health
BB049500,Reproductive Health
BB059400,Reproductive Health
FP000200,Reproductive Health
FP000600,Reproductive Health
FP002400,Reproductive Health
FP003700,Reproductive Health
FP004100,Reproductive Health
FP004500,Reproductive Health
FP004700,Reproductive Health
GF0096,Reproductive Health
HH039000,Reproductive Health
PMI0007,Reproductive Health
ST062500,Reproductive Health
BB021301,IMCI
DN261000,IMCI
EE002700,IMCI
EE033900,IMCI
EE034800,IMCI
EE048300,IMCI
FD007300,IMCI
FD100000,IMCI
ST009700,IMCI
AA026400,HIV/AIDS
GF0058,HIV/AIDS
GF0070,HIV/AIDS
GF0090,HIV/AIDS
GF0221,HIV/AIDS
GF0584,HIV/AIDS
ST010900,HIV/AIDS
DN043400,Nutrition
DN999400,Nutrition
DN999500,Nutrition
TB000300,TB
TB000700,TB
TB000900,TB
TB001000,TB
TB001300,TB
TB004400,TB
TB042500,TB
TB160600,TB
TB160700,TB
AA004200,HSSP Tracer Items
BB005400,HSSP Tracer Items
BB022200,HSSP Tracer Items
BB024000,HSSP Tracer Items
BB069900,HSSP Tracer Items
FD251000,HSSP Tracer Items
GF0402,HSSP Tracer Items
HH077400,HSSP Tracer Items
HH077700,HSSP Tracer Items
HH078000,HSSP Tracer Items
HH078300,HSSP Tracer Items
HH080400,HSSP Tracer Items
HH080700,HSSP Tracer Items
HH081000,HSSP Tracer Items
HH148800,HSSP Tracer Items
HH149400,HSSP Tracer Items
HH150000,HSSP Tracer Items
ST026100,HSSP Tracer Items
AA001500,Tablets/Capsules
AA003300,Tablets/Capsules
AA007200,Tablets/Capsules
AA007800,Tablets/Capsules
AA007840,Tablets/Capsules
AA015900,Tablets/Capsules
AA022500,Tablets/Capsules
AA023700,Tablets/Capsules
AA025200,Tablets/Capsules
AA030900,Tablets/Capsules
AA032400,Tablets/Capsules
AA049500,Tablets/Capsules
AA054000,Tablets/Capsules
BB046800,Tablets/Capsules
DN260600,Tablets/Capsules
EE008700,Tablets/Capsules
EE021300,Tablets/Capsules
EE032700,Tablets/Capsules
FD000200,Tablets/Capsules
FD005300,Tablets/Capsules
FD006300,Tablets/Capsules
FD006900,Tablets/Capsules
FD251700,Tablets/Capsules
GG000600,Tablets/Capsules
BB006900,Injections
BB013500,Injections
BB022800,Injections
BB046900,Injections
BB077100,Injections
FD103800,Injections
TB000600,Injections
FD300600,Health Supplies
FD404700,Health Supplies
FD404800,Health Supplies
FD404900,Health Supplies
FD405000,Health Supplies
FF006300,Health Supplies
FF007200,Health Supplies
FF015600,Health Supplies
HH130800,Health Supplies
KK000600,Health Supplies
SM017000,Health Supplies
SM024200,Health Supplies
